"question","answer"
"¿Donde veo mi tarjeta virtual?","Dentro de la App de Club Premium, en el apartado mi tarjeta está tu número de tarjeta para que puedas hacer compras en línea y generar tu CVV dinámico"
"¿Cómo obtengo mi tarjeta física?","Una vez que ya te registarste y eres miembro del Club la tarjeta llegará a tu domicilio en un plazo de 7 a 10 días hábiles, pero tu tarjeta virtual ya está lista para utilizar en compras en línea desde que te unes al Club"
"¿Qué costo tiene la membresía?","En la membresía inviertes únicamente $399 al año."
"No quiero pagar membresía","Por favor haz una cuenta de, por ejemplo, si pagaras Netflix cada mes con Club Premium estarías ahorrando aprox. $30 al mes. En un año son $360 de ahorro solo en este beneficio. Sí haces una cuenta rápida con la amplia variedad de comercios que tenemos sin dudar multiplicas en ahorros muchísimas veces inversión en la membresía.  toma en cuenta que por ese monto ya tienes tarjeta física a domicilio, tarjeta virtual y App además de todos los beneficios."
"¿Qué se necesita para unirme al Club?","El primer paso es descargar la App Club Premium y seguir las instrucciones hasta concluír tu registro"
"No encuentro la App","No te preocupes, con gusto te envío el link de descarga"
"Android","https://play.google.com/store/apps/details?id=com.premium.club"
"iOS","https://apps.apple.com/mx/app/club-premium/id1671003999"
"Me dice que tengo que pagar membresía","Asi es, pero la inversión es realmente simbólica porque recuperas y multiplicas muchas veces tu inversión con los beneficios que obtienes a lo largo del año."
"Me pide una garantía","Eso sucede cuando pulsas el boton de Pagar Membresía mas garantía. Es un paso opcional, pero recomendado porque tu tarjeta ya quedá lista con saldo disponible para comenzar a utilizarla"
"¿Que es la garantía?","La ""Garantía"" se refiere al saldo disponible que tendrás para tus compras, no es algo obligatorio, pero si recomendable para que cuentes con saldo disponible para utilizar tu membresía"
"¿Que comercios están afiliados?","Tenemos una amplia gama de comercios afiliados en reembolsos y descuentos"
"¿Podrías por favor darme más información del Club Premium?","¡Hola! Gracias por comunicarte con nosotros. Con gusto te cuento todo lo que puedes ahorrar y aprovechar con los beneficios de nuestro Club de Descuentos"
"¿Que es Club Premium?","Club Premium es un club de descuentos diseñado para que ahorres todos los días, ofreciendo 5 beneficios clave: 💸 Descuentos directos en una amplia red de comercios afiliados 🔄 Reembolsos inmediatos (cashback) en tus compras 🎬 Precios preferentes en cine, con boletos desde $39 💳 Tarjeta física y digital para redimir fácilmente todos tus beneficios 📲 App exclusiva para consultar y administrar tu membresía en cualquier momento"
"¿Cómo funcionan los descuentos?","Cada vez que pagas con tu tarjeta física o digital en alguno de nuestros comercios afiliados recibes al instante uno de los beneficios exclusivos de Club Premium."
"Ahora estoy ocupad@ ¿Podrías contactarme después?","¡Con gusto! 😊 ¿En qué horario prefieres que te contactemos?"
"¿Es una tarjeta de crédito o débito?","Tu tarjeta Club Premium es exclusiva para disfrutar los beneficios del club en comercios afiliados. No tiene comisiones, cargos ocultos ni intereses."
"¿Que otros comercios están afiliados?","Descubre todos los comercios afiliados en nuestra pagina web y redes sociales"
"¿Cual es su pagina Web?","www.clubpremium.mx"
"¿Como los encuentro en Facebook?","Búscanos como Tarjeta Club Premium"
"¿Cual es su Instagram?","En Instagram nos encuentras como @club_premium_"
"Me pide una garantía","Esto sucede cuando pulsas el botón “Pagar membresía + garantía”. Es un paso opcional, pero recomendado, ya que tu tarjeta quedará lista con saldo disponible para comenzar a usarla de inmediato."
"¿Qué es la garantía?","La Garantía es el saldo disponible que se carga a tu tarjeta para tus compras. Es un paso opcional, pero recomendado para que cuentes con saldo y puedas utilizar tu membresía de inmediato."
"Me pide $500 de garantía","Es importante que sepas que puedes garantizar desde $100. Aunque el sistema muestre un mínimo de $500, puedes depositar el costo de tu membresía + $100 y comenzar tu membresía con saldo disponible."
"¿Cómo me uno el Club?","Para comenzar, descarga la App Club Premium y sigue paso a paso las indicaciones hasta finalizar tu registro y pago."
"¿Cómo descargo la App?","El primer paso para unirte al Club es descargar nuestra aplicación. Con gusto te comparto los links de descarga."
"No encuentro la App","Puedes hacerlo directamente desde tu tienda de aplicaciones o a través de los links de descarga que te compartiré en un momento."
"¿Cuánto cuesta la membresía?","Con una inversión de solo $399, accedes a todos los beneficios del Club durante un año."
"No quiero pagar la membresía","Antes de decidir, piensa en cada descuento, cada ahorro y cada experiencia que el club puede darte durante todo un año, frente a lo que hoy inviertes en la membresía."
"¿Cómo recupero el costo de mi membresía?","Una sola salida al cine en grupo puede devolverle todo el valor de tu membresía. Con solo 4 personas que vayan al cine usando tu membresía, tu inversión queda recuperada."
"¿Dónde puedo consultar más información?","Si deseas más información la puedes consultar en nuestra página web www.clubpremium.mx"
"¿Porque el contrato dice que es una tarjeta de crédito?","Porque estamos dados de alta en el sistema financiero con un BIN de tarjeta de crédito, pero para el uso del Club de descuentos no tienes obligaciones de fehas de corte ni pago y no te genera intereses ni comisiones"
"¿Como se paga la membresía?","La membresía se paga dentro de la App, una vez que te registraste, continuas el proceso y aparecerá la clabe y referencia para realizar un transferencia bancaria para pago de tu membresía"
"Me dice que no he pagado","Debes verificar que la transferencia no haya sido devuelta, si es el caso, lo que debes hacer es realizarla nuevamente asegurandote de capturar muy bien los datos de la Referencia, que es el vínculo directo con tu membresía"
"¿Que hago después de realizar la transferencia de pago?","Por favor cierra y vuelve a entrar a tu App y terminaste ¡Bienvenid@ al Club!"
"¿Como compro entradas y combos de cine?","Es muy sencillo, por este medio te envío un documento en donde puedes ver el proceso completo"
"¿Donde veo mi cuenta clabe?","Dentro de la App de Club Premium, en el apartado mi tarjeta encuentras tu clabe para abonar saldo disponible a tu membresía"
"¿Donde veo mi tarjeta virtual?","Dentro de la App de Club Premium, en el apartado mi tarjeta está tu número de tarjeta para que puedas hacer compras en línea y generar tu CVV dinámico"
"¿Cómo obtengo mi tarjeta física?","La tarjeta llegará a tu domicilio en un plazo de 7 a 10 días hábiles, pero recuerda que tu tarjeta virtual ya está lista para utilizar en compras en línea desde que te unes al Club"
"No funciona mi tarjeta","Por favor abre tu App y ve a la sección de Mi tarjeta, da click en el botón ""Activar mi tarjeta"" y escanéa el código QR para víncular tu tarjeta con tu App."
"¿Dónde pago con la tarjeta física?","Debes pagar con ella en los comercios que son de descuento directo"
"¿Donde consulto mi NIP?","Dentro de la App de Club Premium, en el apartado mi tarjeta das clic en la flecha de back y ahí puedes consultar tu NIP digitando la contraseña de tu membresía"
"¿Donde consulto mi CVV?","Dentro de la App de Club Premium, en el apartado mi tarjeta das clic en la flecha de back y ahí puedes consultar tu CVV digitando la contraseña de tu membresía"
